Gene	Correlation	Labels	dot	class
ENSG00000218418.2	0.361109549			
ENSG00000132155.13	0.360890049			
ENSG00000175073.8	0.360786877			
ENSG00000169504.15	0.360721041			
ENSG00000198925.12	0.360634037			
ENSG00000095139.14	0.360564922			
ENSG00000154175.18	0.360514612			
ENSG00000138767.13	0.360317883			
ENSG00000116903.7	0.360227751			
ENSG00000136381.13	0.36011474			
ENSG00000028203.18	0.360087476			
ENSG00000102471.14	0.359922365			
ENSG00000110841.14	0.359906662			
ENSG00000219545.11	0.359893254			
ENSG00000237004.4	0.359847068			
ENSG00000095951.17	0.359720045			
ENSG00000102595.20	0.359676315			
ENSG00000019995.6	0.359625739			
ENSG00000101972.19	0.359599761			
ENSG00000139324.12	0.359594941			
ENSG00000139826.6	0.359433185			
ENSG00000138604.10	0.35939578			
ENSG00000081026.19	0.359271938			
ENSG00000131724.11	0.359164158			
ENSG00000120137.7	0.359019023			
ENSG00000118217.6	0.358930198			
ENSG00000061987.16	0.358766055			
ENSG00000055813.6	0.358763377			
ENSG00000145016.16	0.358635778			
ENSG00000116704.8	0.358555861			
ENSG00000109762.16	0.35855015			
ENSG00000176853.16	0.358543725			
ENSG00000169251.13	0.358362782			
ENSG00000137491.15	0.358274927			
ENSG00000287299.1	0.358170238			
ENSG00000159256.13	0.358072003			
ENSG00000144306.15	0.357991312			
ENSG00000104756.16	0.357574327			
ENSG00000131370.16	0.357571867			
ENSG00000100393.14	0.357465455			
ENSG00000081803.16	0.357186805			
ENSG00000184432.11	0.357017351			
ENSG00000162733.19	0.356966883			
ENSG00000136560.14	0.356927518			
ENSG00000073417.15	0.356821282			
ENSG00000078401.7	0.356716766			
ENSG00000181104.7	0.356543293			
ENSG00000113448.19	0.356505791			
ENSG00000242498.8	0.356208976			
ENSG00000154736.6	0.356168684			
ENSG00000132549.18	0.356126064			
ENSG00000008294.21	0.356125211			
ENSG00000163762.7	0.356080366			
ENSG00000162909.18	0.356001277			
ENSG00000173852.15	0.355986379			
ENSG00000105887.11	0.355792465			
ENSG00000110048.12	0.355434751			
ENSG00000150995.20	0.355360441			
ENSG00000145349.17	0.355184473			
ENSG00000135828.11	0.355123494			
ENSG00000135249.8	0.355064433			
ENSG00000128512.23	0.354996502			
ENSG00000276317.1	0.354887131			
ENSG00000174373.16	0.354850408			
ENSG00000114904.13	0.35469404			
ENSG00000124201.15	0.354628983			
ENSG00000198718.13	0.354477086			
ENSG00000179630.11	0.354373653			
ENSG00000091436.17	0.3543364			
ENSG00000147133.16	0.354197513			
ENSG00000102158.20	0.354116744			
ENSG00000148158.17	0.354106485			
ENSG00000140948.13	0.353826817			
ENSG00000131263.13	0.353804322			
ENSG00000172817.4	0.353767352			
ENSG00000168497.5	0.353609672			
ENSG00000153071.15	0.353445241			
ENSG00000180182.11	0.35329273			
ENSG00000114062.22	0.353121199			
ENSG00000175556.17	0.35298602			
ENSG00000168944.17	0.352984089			
ENSG00000183354.12	0.352668804			
ENSG00000256043.4	0.352646924			
ENSG00000156875.14	0.352605748			
ENSG00000150961.15	0.352430012			
ENSG00000080371.6	0.352265629			
ENSG00000135999.12	0.352248579			
ENSG00000127980.16	0.352193493			
ENSG00000163635.20	0.35189422			
ENSG00000145868.17	0.351891682			
ENSG00000083937.10	0.35187241			
ENSG00000107798.18	0.351859011			
ENSG00000178695.6	0.351634189			
ENSG00000168036.18	0.351632469			
ENSG00000261934.2	0.351606755			
ENSG00000188647.13	0.351575462			
ENSG00000070367.16	0.351574422			
ENSG00000129480.13	0.351518188			
ENSG00000003056.8	0.351510028			
ENSG00000257594.4	0.35150426			
ENSG00000011114.15	0.351396756			
ENSG00000152952.12	0.351214316			
ENSG00000177076.6	0.351049953			
ENSG00000178146.9	0.350670329			
ENSG00000162616.9	0.350458902			
ENSG00000113580.15	0.35031381			
ENSG00000152402.11	0.350268952			
ENSG00000215301.11	0.350116182			
ENSG00000127603.30	0.349933455			
ENSG00000118200.14	0.349859196			
ENSG00000137075.18	0.349804162			
ENSG00000136100.14	0.349717663			
ENSG00000151914.20	0.349699773			
ENSG00000106799.13	0.3496607			
ENSG00000138756.18	0.349655807			
ENSG00000113282.14	0.349622112			
ENSG00000182827.9	0.349241935			
ENSG00000233251.8	0.349234921			
ENSG00000032219.19	0.349103694			
ENSG00000182957.16	0.349098058			
ENSG00000110013.13	0.348999158			
ENSG00000155304.6	0.348832369			
ENSG00000178700.9	0.348790794			
ENSG00000126821.8	0.348767613			
ENSG00000116266.11	0.348666333			
ENSG00000135338.14	0.348573555			
ENSG00000179776.19	0.348467005			
ENSG00000164327.13	0.348439867			
ENSG00000155158.20	0.348415323			
ENSG00000178694.10	0.348329741			
ENSG00000162924.15	0.348247066			
ENSG00000178202.13	0.348187847			
ENSG00000164761.9	0.348163093			
ENSG00000197713.15	0.348127833			
ENSG00000127022.15	0.348027081			
ENSG00000152492.15	0.347883981			
ENSG00000254122.3	0.347757428			
ENSG00000172348.15	0.347707315			
ENSG00000107651.13	0.347543783			
ENSG00000164125.16	0.347488346			
ENSG00000055208.19	0.347432976			
ENSG00000097096.9	0.347338647			
ENSG00000100731.16	0.347324208			
ENSG00000163946.13	0.347247743			
ENSG00000141367.12	0.347178359			
ENSG00000128590.5	0.347102206			
ENSG00000123700.5	0.347079712			
ENSG00000143248.13	0.346977711			
ENSG00000151623.15	0.346887376			
ENSG00000120451.11	0.346829357			
ENSG00000204120.16	0.346559545			
ENSG00000120063.10	0.346377761			
ENSG00000127081.14	0.346265119			
ENSG00000149218.5	0.346203029			
ENSG00000168538.16	0.346101638			
ENSG00000286912.1	0.346003161			
ENSG00000112769.20	0.345991489			
ENSG00000198682.13	0.345901936			
ENSG00000044524.11	0.345867473			
ENSG00000263432.2	0.345851617			
ENSG00000271075.1	0.345741385			
